"","Geneid","gene_name","M1_1","M1_2","M1_3","M2_1","M2_2","M2_3"
"19351","ENSG00000196408","NOXO1",0,0,0,0,0,0
"19352","ENSG00000269205","AC005606.1",0,0,0,0,0,0
"19353","ENSG00000127554","GFER",41,73,48,162,31,118
"19354","ENSG00000261790","AC005606.14",0,0,0,0,0,0
"19355","ENSG00000127561","SYNGR3",10,4,9,45,6,38
"19356","ENSG00000260107","AC005606.15",0,0,0,0,0,0
"19357","ENSG00000167962","ZNF598",174,285,128,699,136,405
"19358","ENSG00000183971","NPW",0,1,1,3,0,3
"19359","ENSG00000265386","RN7SL219P",0,1,0,0,0,1
"19360","ENSG00000065054","SLC9A3R2",10,14,6,30,16,28
"19361","ENSG00000065057","NTHL1",16,25,14,149,36,102
"19362","ENSG00000103197","TSC2",462,807,338,2139,479,1411
"19363","ENSG00000008710","PKD1",510,770,278,1724,412,962
"19364","ENSG00000221656","MIR1225",0,0,0,0,0,0
"19365","ENSG00000259933","RP11-304L19.1",1,2,4,4,0,2
"19366","ENSG00000261123","RP11-304L19.3",0,0,0,3,0,3
"19367","ENSG00000261240","RP11-304L19.4",0,0,0,0,0,0
"19368","ENSG00000260447","RP11-304L19.2",1,0,0,3,0,0
"19369","ENSG00000200059","Y_RNA",0,1,0,1,0,0
"19370","ENSG00000265867","MIR4516",0,0,0,1,0,0
"19371","ENSG00000264397","MIR3180-5",0,0,0,0,0,0
"19372","ENSG00000167964","RAB26",0,0,0,0,1,1
"19373","ENSG00000260260","RP11-304L19.5",0,1,1,19,4,8
"19374","ENSG00000206630","SNORD60",0,0,0,2,0,0
"19375","ENSG00000131653","TRAF7",507,829,397,2659,624,1517
"19376","ENSG00000167971","CASKIN1",3,1,0,4,0,1
"19377","ENSG00000167965","MLST8",308,345,133,544,129,403
"19378","ENSG00000252958","AC009065.3",0,0,0,0,0,0
"19379","ENSG00000182685","BRICD5",60,74,33,164,48,154
"19380","ENSG00000261532","RP11-304L19.8",0,0,0,0,0,0
"19381","ENSG00000184207","PGP",192,224,123,617,140,321
"19382","ENSG00000167967","E4F1",166,299,143,625,164,476
"19383","ENSG00000259780","RP11-304L19.12",0,0,1,0,0,0
"19384","ENSG00000167968","DNASE1L2",4,2,0,4,1,2
"19385","ENSG00000167969","ECI1",249,225,164,408,103,323
"19386","ENSG00000261663","RP11-304L19.11",9,11,5,17,8,32
"19387","ENSG00000205937","RNPS1",533,883,598,1595,404,1432
"19388","ENSG00000167970","AC009065.1",0,0,0,0,0,0
"19389","ENSG00000207715","AC009065.2",0,0,0,0,0,0
"19390","ENSG00000260778","MIR940",1,4,1,18,1,8
"19391","ENSG00000266643","MIR3677",0,0,0,2,0,0
"19392","ENSG00000264004","MIR4717",0,0,0,0,0,0
"19393","ENSG00000167972","ABCA3",21,69,34,315,67,189
"19394","ENSG00000243445","RP11-715J22.1",6,1,3,3,0,4
"19395","ENSG00000238098","ABCA17P",1,1,0,1,0,2
"19396","ENSG00000162063","CCNF",20,46,27,94,33,105
"19397","ENSG00000260095","RP11-715J22.3",0,0,1,2,1,3
"19398","ENSG00000260874","RP11-715J22.4",2,1,1,2,0,0
"19399","ENSG00000162062","C16orf59",0,1,1,19,1,4
"19400","ENSG00000259895","RP11-715J22.2",0,0,0,7,0,0
"19401","ENSG00000162068","NTN3",1,0,0,0,0,1
"19402","ENSG00000162065","TBC1D24",47,78,33,531,79,211
"19403","ENSG00000260293","RP11-715J22.6",0,0,0,1,0,0
"19404","ENSG00000260272","RP11-20I23.1",0,0,0,1,1,0
"19405","ENSG00000185883","ATP6V0C",82,152,76,170,42,120
"19406","ENSG00000259784","ATP6C",0,0,0,0,0,0
"19407","ENSG00000162066","AMDHD2",55,175,94,486,76,291
"19408","ENSG00000205923","CEMP1",0,0,0,0,0,0
"19409","ENSG00000266232","MIR3178",0,1,0,0,0,0
"19410","ENSG00000140992","PDPK1",423,841,383,1659,392,1041
"19411","ENSG00000261613","RP11-20I23.13",0,6,2,0,5,3
"19412","ENSG00000261288","RP11-20I23.11",0,0,0,0,0,0
"19413","ENSG00000269937","RP11-20I23.8",2,3,1,4,3,7
"19414","ENSG00000261140","RP11-20I23.6",1,2,1,2,0,0
"19415","ENSG00000260436","RP11-20I23.7",0,0,0,0,0,0
"19416","ENSG00000261093","CTD-3126B10.1",0,0,0,0,0,0
"19417","ENSG00000215154","AC141586.5",16,16,12,40,7,28
"19418","ENSG00000205918","PDPK2",10,15,2,29,7,2
"19419","ENSG00000260176","CTD-3126B10.4",0,0,0,1,1,1
"19420","ENSG00000260565","ERVK13-1",177,91,48,358,54,144
"19421","ENSG00000167977","KCTD5",323,378,228,1214,291,790
"19422","ENSG00000172382","PRSS27",4,18,6,7,9,19
"19423","ENSG00000222055","AC092117.1",0,0,0,0,0,0
"19424","ENSG00000205913","SRRM2-AS1",10,11,8,21,5,33
"19425","ENSG00000167978","SRRM2",9138,14270,5793,27605,8797,23755
"19426","ENSG00000265864","AC092117.2",0,0,0,0,0,0
"19427","ENSG00000103363","TCEB2",446,890,491,1598,442,1593
"19428","ENSG00000103355","PRSS33",0,0,0,4,0,3
"19429","ENSG00000221719","SNORA3",0,0,0,0,0,0
"19430","ENSG00000215148","PRSS41",0,0,0,0,0,9
"19431","ENSG00000007038","PRSS21",42,72,15,152,86,104
"19432","ENSG00000262154","LA16c-352F10.1",1,1,0,2,2,1
"19433","ENSG00000162078","ZG16B",31,19,9,362,84,91
"19434","ENSG00000172460","PRSS30P",13,2,4,10,1,5
"19435","ENSG00000005001","PRSS22",19,1,0,1,1,0
"19436","ENSG00000263325","LA16c-325D7.1",2,0,0,0,0,0
"19437","ENSG00000263280","LA16c-325D7.2",3,1,2,2,1,7
"19438","ENSG00000162076","FLYWCH2",50,70,67,223,44,150
"19439","ENSG00000059122","FLYWCH1",414,1084,251,1542,811,1278
"19440","ENSG00000262959","LA16c-321D4.1",1,2,1,0,0,2
"19441","ENSG00000262482","LA16c-321D4.2",3,7,0,12,7,13
"19442","ENSG00000131650","KREMEN2",3,4,1,35,7,13
"19443","ENSG00000127564","PKMYT1",5,0,2,50,8,13
"19444","ENSG00000162073","PAQR4",102,132,36,638,119,311
"19445","ENSG00000262152","LINC00514",1,0,3,1,0,0
"19446","ENSG00000270097","LA16c-380H5.3",0,0,0,0,0,0
"19447","ENSG00000270168","LA16c-380H5.4",0,0,0,0,0,0
"19448","ENSG00000262362","LA16c-380H5.2",2,1,0,5,0,1
"19449","ENSG00000272079","LA16c-380H5.5",7,4,2,37,11,18
"19450","ENSG00000213937","CLDN9",5,5,3,39,12,17
"19451","ENSG00000184697","CLDN6",0,0,1,0,0,1
"19452","ENSG00000006327","TNFRSF12A",154,99,52,93,19,130
"19453","ENSG00000103145","HCFC1R1",216,362,209,682,224,992
"19454","ENSG00000131652","THOC6",112,140,103,656,90,374
"19455","ENSG00000162069","CCDC64B",5,7,12,3,4,20
"19456","ENSG00000205890","RP11-473M20.5",8,11,2,23,8,15
"19457","ENSG00000008516","MMP25",262,465,88,1792,371,857
"19458","ENSG00000261971","RP11-473M20.7",65,102,39,102,28,51
"19459","ENSG00000008517","IL32",196,178,81,370,28,19
"19460","ENSG00000252561","RNU1-125P",0,0,0,0,0,0
"19461","ENSG00000262370","RP11-473M20.9",157,217,157,624,92,489
"19462","ENSG00000200204","RNU1-22P",14,3,7,20,9,12
"19463","ENSG00000130182","ZSCAN10",0,3,1,0,0,0
"19464","ENSG00000263011","RP11-473M20.11",0,0,0,0,1,2
"19465","ENSG00000263214","ZNF205-AS1",2,6,1,7,6,11
"19466","ENSG00000122386","ZNF205",16,69,36,43,35,99
"19467","ENSG00000263072","RP11-473M20.14",25,23,10,83,23,67
"19468","ENSG00000085644","ZNF213",139,288,130,421,129,361
"19469","ENSG00000228146","CASP16",1,1,0,8,1,3
"19470","ENSG00000261889","RP11-473M20.16",3,11,3,0,1,4
"19471","ENSG00000262521","AJ003147.8",0,0,0,0,0,0
"19472","ENSG00000262668","AJ003147.9",0,0,0,0,0,0
"19473","ENSG00000168124","OR1F1",0,1,0,0,0,0
"19474","ENSG00000203581","OR1F2P",1,1,0,0,0,0
"19475","ENSG00000010539","ZNF200",123,224,153,183,63,202
"19476","ENSG00000103313","MEFV",353,692,170,134,124,148
"19477","ENSG00000006194","ZNF263",250,360,185,739,195,576
"19478","ENSG00000140993","TIGD7",20,19,23,28,9,26
"19479","ENSG00000162086","ZNF75A",111,137,146,412,68,313
"19480","ENSG00000262899","LA16c-360H6.3",0,0,0,0,0,0
"19481","ENSG00000262554","LA16c-360H6.2",0,0,0,0,0,0
"19482","ENSG00000262316","RP11-433P17.1",0,0,0,0,0,0
"19483","ENSG00000168158","OR2C1",1,0,0,2,0,1
"19484","ENSG00000262621","NAA60",0,0,0,0,0,0
"19485","ENSG00000262118","RP11-433P17.3",0,0,0,0,0,1
"19486","ENSG00000263177","RP11-433P17.2",1,0,1,0,0,0
"19487","ENSG00000232196","MTRNR2L4",0,0,1,0,0,0
"19488","ENSG00000140987","ZSCAN32",136,145,84,282,62,209
"19489","ENSG00000103343","ZNF174",52,87,28,216,69,159
"19490","ENSG00000167981","ZNF597",40,96,64,91,35,159
"19491","ENSG00000122390","NAA60",32,69,31,99,56,64
"19492","ENSG00000263212","LA16c-306E5.3",0,0,0,0,0,0
"19493","ENSG00000215131","C16orf90",0,0,0,0,0,0
"19494","ENSG00000240311","LA16c-306E5.1",0,0,0,0,1,1
"19495","ENSG00000103351","CLUAP1",54,52,49,224,49,154
"19496","ENSG00000167984","NLRC3",31,9,5,89,11,16
"19497","ENSG00000262312","LA16c-390H2.4",1,0,0,3,0,0
"19498","ENSG00000261938","RP11-461A8.1",0,0,0,0,0,0
"19499","ENSG00000188827","SLX4",163,307,121,1214,328,508
"19500","ENSG00000213918","DNASE1",86,119,25,285,80,144
"19501","ENSG00000263235","RP11-461A8.4",2,3,1,1,1,8
"19502","ENSG00000126602","TRAP1",297,310,249,1059,258,830
"19503","ENSG00000178430","AC006111.1",2,4,0,4,1,10
"19504","ENSG00000005339","CREBBP",1351,2168,972,3338,844,2619
"19505","ENSG00000262516","RP11-95J11.1",0,0,0,2,0,0
"19506","ENSG00000262888","RP11-462G12.2",0,0,0,2,0,0
