"","Geneid","gene_name","M1_1","M1_2","M1_3","M2_1","M2_2","M2_3"
"1","ENSG00000223972","DDX11L1",0,0,1,0,0,0
"2","ENSG00000227232","WASH7P",42,107,49,193,46,121
"3","ENSG00000243485","MIR1302-10",0,0,0,0,0,0
"4","ENSG00000237613","FAM138A",0,0,0,0,0,0
"5","ENSG00000268020","OR4G4P",0,0,0,0,0,0
"6","ENSG00000240361","OR4G11P",0,0,0,0,0,0
"7","ENSG00000186092","OR4F5",0,0,0,0,0,0
"8","ENSG00000238009","RP11-34P13.7",0,0,0,3,0,0
"9","ENSG00000239945","RP11-34P13.8",0,0,0,0,0,0
"10","ENSG00000233750","CICP27",0,1,0,0,0,1
"11","ENSG00000237683","AL627309.1",192,388,111,103,36,34
"12","ENSG00000268903","RP11-34P13.15",2,1,0,0,0,0
"13","ENSG00000269981","RP11-34P13.16",0,0,0,0,0,0
"14","ENSG00000239906","RP11-34P13.14",3,1,0,0,0,0
"15","ENSG00000241860","RP11-34P13.13",18,36,12,9,6,17
"16","ENSG00000222623","RNU6-1100P",0,0,0,0,0,0
"17","ENSG00000241599","RP11-34P13.9",0,0,0,0,0,0
"18","ENSG00000228463","AP006222.2",21,26,3,18,14,9
"19","ENSG00000241670","AP006222.1",0,0,0,0,0,0
"20","ENSG00000237094","RP4-669L17.10",3,2,2,3,1,5
"21","ENSG00000250575","RP4-669L17.8",0,0,0,0,0,1
"22","ENSG00000233653","CICP7",0,0,0,1,0,0
"23","ENSG00000224813","RP4-669L17.4",0,0,0,0,0,0
"24","ENSG00000235249","OR4F29",0,0,0,0,0,0
"25","ENSG00000269732","WBP1LP7",0,0,0,0,0,0
"26","ENSG00000256186","AL732372.1",0,0,0,0,0,0
"27","ENSG00000236601","RP4-669L17.2",0,0,0,0,0,0
"28","ENSG00000236743","RP5-857K21.15",0,0,0,0,0,0
"29","ENSG00000236679","RP4-669L17.1",0,0,0,1,0,0
"30","ENSG00000231709","RP5-857K21.1",0,0,0,0,0,1
"31","ENSG00000235146","RP5-857K21.2",0,0,0,0,0,1
"32","ENSG00000239664","RP5-857K21.3",0,0,0,0,0,0
"33","ENSG00000230021","RP5-857K21.4",0,1,1,0,0,0
"34","ENSG00000223659","RP5-857K21.5",0,0,0,0,0,0
"35","ENSG00000225972","MTND1P23",7,4,7,15,4,22
"36","ENSG00000225630","MTND2P28",421,421,29,1625,404,54
"37","ENSG00000237973","hsa-mir-6723",795,811,542,1921,576,1141
"38","ENSG00000229344","RP5-857K21.7",29,15,19,58,14,38
"39","ENSG00000240409","MTATP8P1",5,3,5,15,3,14
"40","ENSG00000248527","MTATP6P1",2039,2182,30,9730,1778,51
"41","ENSG00000198744","RP5-857K21.11",39,21,34,101,26,49
"42","ENSG00000268663","WBP1LP6",0,0,0,0,0,0
"43","ENSG00000185097","OR4F16",0,0,0,0,0,0
"44","ENSG00000229376","CICP3",0,0,0,0,0,0
"45","ENSG00000224956","RP11-206L10.1",11,6,8,19,5,10
"46","ENSG00000235373","RP11-206L10.3",5,3,2,11,4,7
"47","ENSG00000223181","RNU6-1199P",0,0,0,0,0,0
"48","ENSG00000240618","RP11-206L10.5",0,0,0,2,0,0
"49","ENSG00000229905","RP11-206L10.4",0,0,0,0,0,0
"50","ENSG00000228327","RP11-206L10.2",12,28,6,27,12,35
"51","ENSG00000237491","RP11-206L10.9",24,22,8,54,22,45
"52","ENSG00000230092","RP11-206L10.8",5,6,9,11,0,4
"53","ENSG00000269831","AL669831.1",0,1,1,0,0,3
"54","ENSG00000240453","RP11-206L10.10",0,0,0,1,0,0
"55","ENSG00000177757","FAM87B",4,8,4,10,7,11
"56","ENSG00000225880","LINC00115",5,6,7,29,10,13
"57","ENSG00000228794","LINC01128",91,106,61,136,29,144
"58","ENSG00000230368","FAM41C",0,0,2,0,0,0
"59","ENSG00000234711","TUBB8P11",0,0,0,0,0,0
"60","ENSG00000269308","AL645608.2",0,0,0,0,0,0
"61","ENSG00000272438","RP11-54O7.16",0,0,0,0,0,2
"62","ENSG00000230699","RP11-54O7.1",1,0,1,1,0,4
"63","ENSG00000241180","RP11-54O7.2",0,0,0,0,0,0
"64","ENSG00000223764","RP11-54O7.3",2,0,0,3,1,11
"65","ENSG00000187634","SAMD11",1,1,0,3,0,0
"66","ENSG00000268179","AL645608.1",0,0,0,0,0,0
"67","ENSG00000188976","NOC2L",234,358,355,1394,289,1099
"68","ENSG00000187961","KLHL17",50,131,62,265,68,193
"69","ENSG00000187583","PLEKHN1",26,41,15,48,16,66
"70","ENSG00000187642","C1orf170",4,6,2,8,3,11
"71","ENSG00000272512","RP11-54O7.17",0,4,0,0,0,2
"72","ENSG00000188290","HES4",1,14,5,0,0,4
"73","ENSG00000231702","RP11-54O7.10",0,0,0,1,0,3
"74","ENSG00000224969","RP11-54O7.11",0,0,1,0,0,1
"75","ENSG00000187608","ISG15",137,390,346,190,28,94
"76","ENSG00000188157","AGRN",1080,1490,458,5755,953,1642
"77","ENSG00000242590","RP11-54O7.14",0,0,0,0,0,0
"78","ENSG00000217801","RP11-465B22.3",67,95,30,27,39,51
"79","ENSG00000273443","RP11-54O7.18",11,10,2,9,4,11
"80","ENSG00000237330","RNF223",0,0,0,0,0,0
"81","ENSG00000131591","C1orf159",64,83,45,185,40,99
"82","ENSG00000223823","RP11-465B22.5",0,0,0,0,0,0
"83","ENSG00000207730","MIR200B",0,0,1,0,0,0
"84","ENSG00000207607","MIR200A",0,0,0,0,0,0
"85","ENSG00000198976","MIR429",0,0,0,0,0,0
"86","ENSG00000272141","RP11-465B22.8",0,0,0,0,1,1
"87","ENSG00000205231","TTLL10-AS1",0,0,0,0,0,0
"88","ENSG00000162571","TTLL10",2,2,0,0,0,0
"89","ENSG00000186891","TNFRSF18",219,285,67,90,33,66
"90","ENSG00000186827","TNFRSF4",110,98,28,420,32,62
"91","ENSG00000078808","SDF4",853,1292,845,3044,674,2055
"92","ENSG00000176022","B3GALT6",100,110,100,373,41,191
"93","ENSG00000184163","FAM132A",3,12,10,5,8,25
"94","ENSG00000260179","RP5-902P8.12",4,10,1,11,3,11
"95","ENSG00000160087","UBE2J2",266,450,240,817,200,611
"96","ENSG00000230415","RP5-902P8.10",3,15,4,8,6,11
"97","ENSG00000162572","SCNN1D",36,64,19,68,41,78
"98","ENSG00000131584","ACAP3",206,376,129,1889,309,775
"99","ENSG00000169972","PUSL1",24,55,23,110,28,79
"100","ENSG00000127054","CPSF3L",558,768,374,1398,414,1160
"101","ENSG00000240731","RP5-890O3.9",22,21,13,44,12,41
"102","ENSG00000224051","GLTPD1",90,131,64,374,70,246
"103","ENSG00000169962","TAS1R3",5,6,3,4,1,7
"104","ENSG00000107404","DVL1",217,310,194,658,187,529
"105","ENSG00000162576","MXRA8",28,15,7,101,15,30
"106","ENSG00000175756","AURKAIP1",203,329,230,649,152,459
"107","ENSG00000223663","RP5-890O3.3",0,2,0,1,0,1
"108","ENSG00000221978","CCNL2",1480,1457,1219,2334,709,3115
"109","ENSG00000224870","RP4-758J18.2",77,104,61,173,60,182
"110","ENSG00000242485","MRPL20",179,216,227,833,147,573
"111","ENSG00000264293","RN7SL657P",0,0,0,0,0,0
"112","ENSG00000272455","RP4-758J18.13",4,11,5,14,8,15
"113","ENSG00000235098","ANKRD65",0,0,0,3,2,0
"114","ENSG00000225905","RP4-758J18.7",0,0,0,0,0,0
"115","ENSG00000205116","TMEM88B",0,0,0,0,0,0
"116","ENSG00000225285","RP4-758J18.10",0,1,0,0,0,0
"117","ENSG00000179403","VWA1",1,3,0,20,1,15
"118","ENSG00000215915","ATAD3C",1,0,0,3,3,3
"119","ENSG00000160072","ATAD3B",94,141,109,409,82,273
"120","ENSG00000197785","ATAD3A",40,78,36,321,43,141
"121","ENSG00000205090","TMEM240",0,0,0,0,0,3
"122","ENSG00000160075","SSU72",627,805,646,1549,399,1806
"123","ENSG00000215791","AL645728.2",0,0,0,0,0,0
"124","ENSG00000215014","AL645728.1",1,9,12,22,6,7
"125","ENSG00000236684","AL645728.3",0,0,0,0,0,1
"126","ENSG00000228594","C1orf233",27,56,62,313,49,256
"127","ENSG00000272106","RP11-345P4.9",56,81,49,105,38,105
"128","ENSG00000197530","MIB2",157,464,232,533,194,649
"129","ENSG00000189409","MMP23B",0,0,0,0,0,0
"130","ENSG00000248333","CDK11B",166,362,219,554,145,529
"131","ENSG00000272004","RP11-345P4.10",0,0,0,1,0,0
"132","ENSG00000189339","SLC35E2B",362,595,262,1270,442,945
"133","ENSG00000269737","RP11-345P4.7",16,42,5,32,22,24
"134","ENSG00000269227","RP11-345P4.6",6,9,2,9,9,9
"135","ENSG00000215914","MMP23A",0,0,0,1,0,0
"136","ENSG00000008128","CDK11A",48,85,42,100,34,94
"137","ENSG00000268575","RP1-283E3.8",40,37,20,91,22,73
"138","ENSG00000227775","RP1-283E3.4",58,61,9,157,54,61
"139","ENSG00000215790","SLC35E2",17,39,15,59,37,68
"140","ENSG00000008130","NADK",620,1327,988,2206,421,1194
"141","ENSG00000078369","GNB1",4125,6165,3839,13353,3139,9638
"142","ENSG00000231050","RP1-140A9.1",2,1,2,7,2,0
"143","ENSG00000169885","CALML6",0,1,1,3,3,2
"144","ENSG00000178821","TMEM52",7,3,2,9,0,9
"145","ENSG00000142609","C1orf222",0,1,0,8,1,24
"146","ENSG00000233542","RP11-547D24.1",0,0,0,0,0,0
"147","ENSG00000187730","GABRD",0,0,0,0,0,0
"148","ENSG00000226969","RP11-547D24.3",0,0,0,0,0,0
"149","ENSG00000067606","PRKCZ",4,4,0,23,7,14
"150","ENSG00000271806","RP5-892K4.1",0,0,0,0,0,1
"151","ENSG00000182873","RP11-181G12.2",6,7,0,15,3,9
"152","ENSG00000162585","C1orf86",62,160,80,353,98,264
"153","ENSG00000269554","AL590822.2",0,0,0,0,0,0
"154","ENSG00000203301","AL590822.1",1,2,0,6,2,4
"155","ENSG00000243558","RP11-181G12.5",0,0,0,0,0,0
"156","ENSG00000234396","RP11-181G12.4",0,0,0,0,0,0
"157","ENSG00000157933","SKI",751,1121,403,3945,932,2604
"158","ENSG00000116151","MORN1",17,20,14,35,8,39
"159","ENSG00000272161","RP4-713A8.1",0,0,0,0,0,0
"160","ENSG00000269753","AL589739.1",0,1,0,0,0,1
"161","ENSG00000269896","RP4-740C4.6",13,10,4,21,3,18
"162","ENSG00000238240","RP4-740C4.5",0,0,0,0,0,0
"163","ENSG00000272420","RP4-740C4.7",0,2,2,3,1,7
"164","ENSG00000271921","RP4-740C4.9",0,0,0,2,0,0
"165","ENSG00000271847","RP4-740C4.8",0,0,0,1,0,0
"166","ENSG00000178642","AL513477.1",0,0,0,0,0,0
"167","ENSG00000157916","RER1",765,1089,759,2483,541,1799
"168","ENSG00000157911","PEX10",40,46,73,247,49,173
"169","ENSG00000149527","PLCH2",10,5,2,29,3,9
"170","ENSG00000224387","RP3-395M20.2",0,0,0,2,0,0
"171","ENSG00000229393","RP3-395M20.3",0,0,0,2,1,0
"172","ENSG00000157881","PANK4",194,331,188,533,137,385
"173","ENSG00000197921","HES5",0,0,1,0,1,1
"174","ENSG00000272449","RP3-395M20.12",2,12,15,20,4,27
"175","ENSG00000238164","RP3-395M20.8",44,54,36,218,47,128
"176","ENSG00000157873","TNFRSF14",1608,3013,1732,6499,1321,4709
"177","ENSG00000225931","RP3-395M20.7",8,24,8,16,10,18
"178","ENSG00000228037","RP3-395M20.9",7,18,14,3,6,14
"179","ENSG00000157870","FAM213B",161,491,202,951,217,882
"180","ENSG00000142606","MMEL1",7,8,10,10,8,12
"181","ENSG00000237058","RP13-436F16.1",0,0,0,0,0,0
"182","ENSG00000215912","TTC34",20,17,11,75,17,46
"183","ENSG00000233234","RP11-740P5.2",0,0,0,0,0,0
"184","ENSG00000231630","RP11-740P5.3",0,0,0,0,0,0
"185","ENSG00000169717","ACTRT2",0,0,0,0,0,0
"186","ENSG00000177133","LINC00982",0,0,1,0,0,0
"187","ENSG00000256761","AL008733.1",0,0,0,0,0,0
"188","ENSG00000142611","PRDM16",1,1,0,0,0,1
"189","ENSG00000226286","RP1-163G9.2",0,0,0,0,0,0
"190","ENSG00000272235","RP11-22L13.1",0,1,0,0,0,1
"191","ENSG00000130762","ARHGEF16",1,2,4,1,0,7
"192","ENSG00000272088","RP11-168F9.2",0,0,0,0,1,0
"193","ENSG00000162591","MEGF6",32,100,18,321,111,289
"194","ENSG00000207776","MIR551A",0,0,0,0,0,0
"195","ENSG00000238260","RP11-46F15.2",0,1,1,2,0,0
"196","ENSG00000158109","TPRG1L",265,422,220,1440,388,979
"197","ENSG00000116213","WRAP73",165,308,152,463,125,394
"198","ENSG00000078900","TP73",3,2,4,8,0,1
"199","ENSG00000227589","RP5-1092A11.5",0,0,0,1,0,0
"200","ENSG00000235131","RP5-1092A11.2",0,0,0,0,0,0
"201","ENSG00000227372","TP73-AS1",205,220,56,496,171,351
"202","ENSG00000162592","CCDC27",0,0,0,0,0,0
"203","ENSG00000235169","SMIM1",0,1,0,9,1,15
"204","ENSG00000130764","LRRC47",247,390,286,770,202,723
"205","ENSG00000266075","RN7SL574P",0,1,0,1,0,5
"206","ENSG00000272153","RP1-286D6.5",3,4,6,16,6,14
"207","ENSG00000116198","CEP104",280,442,229,842,231,680
"208","ENSG00000169598","DFFB",56,77,48,191,36,173
"209","ENSG00000264428","AL691523.1",0,0,0,0,0,0
"210","ENSG00000198912","C1orf174",289,465,251,705,156,786
"211","ENSG00000236423","LINC01134",5,3,3,13,1,3
"212","ENSG00000233304","RP13-614K11.1",0,0,0,0,0,2
"213","ENSG00000226374","RP13-614K11.2",0,0,0,0,0,0
"214","ENSG00000229280","RP11-374C13.1",0,0,0,0,0,0
"215","ENSG00000235054","RP5-1166F10.1",0,0,0,0,0,0
"216","ENSG00000227169","RP1-37J18.1",0,0,0,0,0,0
"217","ENSG00000232596","RP1-37J18.2",0,0,0,0,0,0
"218","ENSG00000196581","AJAP1",0,1,0,0,1,0
"219","ENSG00000231510","RP11-542C10.1",0,0,0,0,0,0
"220","ENSG00000260972","RP1-58B11.1",0,0,0,0,0,0
"221","ENSG00000264341","MIR4417",0,0,0,0,0,0
"222","ENSG00000236948","RP11-154H17.1",0,0,0,0,0,0
"223","ENSG00000216045","AL356693.1",0,0,0,0,0,0
"224","ENSG00000264101","MIR4689",0,0,0,0,0,0
"225","ENSG00000131697","NPHP4",108,100,50,511,64,189
"226","ENSG00000266687","AL356261.1",0,0,0,0,0,0
"227","ENSG00000069424","KCNAB2",2679,3643,1783,6598,3133,5210
"228","ENSG00000268332","AL035406.1",0,0,0,0,0,0
"229","ENSG00000116254","CHD5",3,2,2,3,1,0
"230","ENSG00000116251","RPL22",1145,1522,1171,4234,1232,4686
"231","ENSG00000226944","RP1-120G22.11",0,0,0,3,0,0
"232","ENSG00000158286","RNF207",15,7,5,81,9,19
"233","ENSG00000116237","ICMT",541,605,367,2003,368,907
"234","ENSG00000225077","LINC00337",1,0,0,5,0,3
"235","ENSG00000173673","HES3",0,0,0,0,0,0
"236","ENSG00000158292","GPR153",75,68,41,570,43,222
"237","ENSG00000097021","ACOT7",180,113,184,1874,209,1253
"238","ENSG00000271746","RP1-202O8.3",0,0,0,0,0,0
"239","ENSG00000069812","HES2",0,1,5,1,1,0
"240","ENSG00000187017","ESPN",0,0,0,1,0,0
"241","ENSG00000265392","MIR4252",0,0,0,0,0,0
"242","ENSG00000231868","RP1-202O8.2",0,0,0,0,0,0
"243","ENSG00000215788","TNFRSF25",23,5,1,92,13,17
"244","ENSG00000171680","PLEKHG5",0,3,1,312,33,80
"245","ENSG00000162408","NOL9",127,151,141,454,86,339
"246","ENSG00000253022","RNU6-731P",0,0,0,0,0,1
"247","ENSG00000229519","RP11-58A11.2",4,4,0,3,0,6
"248","ENSG00000173662","TAS1R1",3,10,0,6,3,7
"249","ENSG00000204859","ZBTB48",285,364,105,899,205,520
"250","ENSG00000162413","KLHL21",271,469,325,902,178,750
"251","ENSG00000116273","PHF13",309,276,150,391,168,590
"252","ENSG00000041988","THAP3",82,115,45,199,54,162
"253","ENSG00000007923","DNAJC11",209,183,211,882,107,480
"254","ENSG00000228750","RP11-242F24.1",0,0,0,0,0,0
"255","ENSG00000239166","snoU13",0,0,0,0,0,0
"256","ENSG00000237436","RP11-312B8.1",0,0,3,3,0,4
"257","ENSG00000171735","CAMTA1",188,256,156,453,160,358
"258","ENSG00000227950","RP11-312B8.2",0,1,0,0,1,0
"259","ENSG00000237365","RP11-334N17.1",0,0,0,0,0,0
"260","ENSG00000207056","RNU1-8P",0,0,0,0,0,0
"261","ENSG00000237402","CAMTA1-IT1",0,0,0,0,0,0
"262","ENSG00000237728","RP3-453P22.2",0,0,0,0,0,0
"263","ENSG00000225126","RP4-549F15.1",0,0,0,0,0,0
"264","ENSG00000270171","RP11-338N10.1",0,0,0,0,0,0
"265","ENSG00000270035","RP11-338N10.2",0,1,0,0,0,0
"266","ENSG00000269978","RP11-338N10.3",0,2,1,1,3,1
"267","ENSG00000049245","VAMP3",1354,2174,1220,5760,1567,4502
"268","ENSG00000269925","RP3-467L1.6",7,10,10,32,6,28
"269","ENSG00000049246","PER3",101,307,159,1087,407,1067
"270","ENSG00000236266","RP3-467L1.4",0,2,5,10,4,7
"271","ENSG00000049247","UTS2",1,1,0,1,0,1
"272","ENSG00000049249","TNFRSF9",12,4,13,40,12,2
"273","ENSG00000270330","RP5-892F13.2",0,0,0,0,0,0
"274","ENSG00000116288","PARK7",573,748,667,2244,463,1548
"275","ENSG00000200344","Y_RNA",1,0,2,3,0,1
"276","ENSG00000116285","ERRFI1",49,164,169,64,58,123
"277","ENSG00000238290","RP11-431K24.1",0,0,0,1,0,0
"278","ENSG00000232848","CTA-215D11.4",0,0,0,2,0,4
"279","ENSG00000229305","RP11-431K24.2",0,0,0,0,0,0
"280","ENSG00000200975","RNU1-7P",0,0,0,0,0,0
"281","ENSG00000227634","RP11-431K24.3",0,0,0,0,0,0
"282","ENSG00000233645","RP11-431K24.4",0,0,0,0,0,0
"283","ENSG00000265414","RN7SL729P",0,0,1,0,0,0
"284","ENSG00000251977","RNU6-991P",0,0,0,0,0,0
"285","ENSG00000162426","SLC45A1",1,6,0,11,1,8
"286","ENSG00000252254","Y_RNA",0,0,0,0,0,0
"287","ENSG00000142599","RERE",647,1174,629,4421,756,1796
"288","ENSG00000232912","RP5-1115A15.1",12,10,13,19,6,12
"289","ENSG00000221083","SNORA77",0,0,0,1,0,0
"290","ENSG00000270282","RP5-1115A15.2",0,0,0,0,0,1
"291","ENSG00000234619","RPL7P11",0,0,0,3,0,2
"292","ENSG00000224315","RPL7P7",0,0,1,3,1,1
"293","ENSG00000222511","Y_RNA",0,0,0,0,0,0
"294","ENSG00000226545","RP4-633I8.3",0,1,0,0,0,0
"295","ENSG00000228423","RP4-633I8.4",0,0,0,0,0,0
"296","ENSG00000229716","RP11-185B14.1",0,0,0,0,1,1
"297","ENSG00000074800","ENO1",18231,20421,17327,37819,6561,31139
"298","ENSG00000236269","ENO1-IT1",20,9,5,24,2,13
"299","ENSG00000230679","ENO1-AS1",0,1,2,2,0,2
"300","ENSG00000201725","RNU6-304P",0,0,0,0,0,0
"301","ENSG00000238249","HMGN2P17",0,1,1,2,1,1
"302","ENSG00000232208","RP3-477M7.5",2,0,0,2,1,0
"303","ENSG00000232663","RP3-477M7.6",0,0,1,2,0,0
"304","ENSG00000131686","CA6",1,0,0,6,0,1
"305","ENSG00000265141","RN7SL451P",0,0,0,0,0,0
"306","ENSG00000197241","SLC2A7",0,0,0,0,0,1
"307","ENSG00000142583","SLC2A5",144,211,424,183,68,591
"308","ENSG00000252404","SCARNA16",0,0,0,0,0,0
"309","ENSG00000180758","GPR157",181,241,178,309,106,372
"310","ENSG00000207865","MIR34A",4,3,4,2,1,3
"311","ENSG00000228526","RP3-510D11.1",1,1,0,0,0,2
"312","ENSG00000234546","RP3-510D11.2",3,4,6,0,0,16
"313","ENSG00000049239","H6PD",2026,2356,1130,4461,1119,2727
"314","ENSG00000252841","Z98044.1",0,0,0,0,0,0
"315","ENSG00000171621","SPSB1",316,139,158,170,28,177
"316","ENSG00000252956","RNA5SP40",0,0,0,0,0,0
"317","ENSG00000235263","RP13-392I16.1",0,0,0,0,0,0
"318","ENSG00000171612","SLC25A33",67,133,133,235,36,237
"319","ENSG00000231181","RP13-15M17.1",2,14,4,7,1,14
"320","ENSG00000188807","TMEM201",70,103,72,272,65,205
"321","ENSG00000171608","PIK3CD",974,1841,690,3029,798,2538
"322","ENSG00000179840","C1orf200",4,7,2,3,0,9
"323","ENSG00000233268","RP11-558F24.2",0,0,0,0,0,0
"324","ENSG00000231789","RP11-558F24.4",3,0,0,4,0,2
"325","ENSG00000171603","CLSTN1",903,1413,308,4093,1052,2706
"326","ENSG00000271264","RP11-558F24.6",0,0,0,0,0,0
"327","ENSG00000178585","CTNNBIP1",109,194,92,868,181,555
"328","ENSG00000223989","RP11-84A14.5",0,0,0,0,0,0
"329","ENSG00000162441","LZIC",279,342,222,684,159,463
"330","ENSG00000228150","RP11-84A14.4",3,2,3,4,0,5
"331","ENSG00000173614","NMNAT1",135,193,77,430,113,216
"332","ENSG00000202415","RN7SKP269",2,2,2,2,2,1
"333","ENSG00000265521","MIR5697",0,0,0,0,0,0
"334","ENSG00000241326","RP11-807G9.2",0,0,0,0,0,0
"335","ENSG00000162444","RBP7",24,55,14,25,19,39
"336","ENSG00000225786","AL590639.1",0,0,0,0,1,0
"337","ENSG00000130939","UBE4B",447,559,259,1334,365,994
"338","ENSG00000224340","RP11-496H15.2",0,1,0,0,0,0
"339","ENSG00000233623","PGAM1P11",0,0,0,2,1,0
"340","ENSG00000201746","RNU6-828P",0,0,0,0,0,1
"341","ENSG00000054523","KIF1B",1662,2118,1133,2267,663,2001
"342","ENSG00000264881","MIR1273D",0,0,0,0,0,0
"343","ENSG00000199562","RNU6-37P",1,0,0,0,0,0
"344","ENSG00000264501","RN7SL731P",0,0,0,0,0,0
"345","ENSG00000265945","RN7SL721P",2,2,1,1,1,1
"346","ENSG00000142657","PGD",7429,8831,4434,9003,2561,6073
"347","ENSG00000271989","RP4-736L20.3",0,0,0,0,0,0
"348","ENSG00000175279","APITD1",1,2,5,25,1,21
"349","ENSG00000251503","APITD1-CORT",0,0,0,0,0,0
"350","ENSG00000241563","CORT",0,1,0,0,0,2
"351","ENSG00000160049","DFFA",221,287,149,797,212,542
"352","ENSG00000203469","RP5-1113E3.3",0,0,0,0,0,0
"353","ENSG00000142655","PEX14",123,214,97,290,68,234
"354","ENSG00000243267","RN7SL614P",0,0,0,0,0,0
"355","ENSG00000130940","CASZ1",16,14,4,187,10,10
"356","ENSG00000272078","RP4-734G22.3",4,3,2,13,2,4
"357","ENSG00000225158","HSPE1P24",0,0,0,0,0,0
"358","ENSG00000175262","C1orf127",0,0,4,25,4,11
"359","ENSG00000215785","CFL1P6",0,1,0,0,0,1
"360","ENSG00000264181","AL713997.1",0,0,0,0,0,0
"361","ENSG00000207213","Y_RNA",0,0,0,0,0,0
"362","ENSG00000120948","TARDBP",1170,1258,614,3454,810,2195
"363","ENSG00000009724","MASP2",36,76,41,208,69,176
"364","ENSG00000271895","RP4-635E18.8",22,55,28,149,59,193
"365","ENSG00000116649","SRM",46,76,101,541,94,311
"366","ENSG00000171824","EXOSC10",459,475,386,1571,315,1227
"367","ENSG00000226849","RP4-635E18.7",1,2,4,4,3,10
"368","ENSG00000230337","RP4-635E18.6",2,0,1,2,2,5
"369","ENSG00000198793","MTOR",500,628,350,2051,365,953
"370","ENSG00000225602","MTOR-AS1",0,0,0,2,0,0
"371","ENSG00000253086","RNU6-537P",0,0,0,0,0,0
"372","ENSG00000271794","snoU13",0,0,0,0,0,0
"373","ENSG00000171819","ANGPTL7",0,1,1,0,0,0
"374","ENSG00000207451","RNU6-291P",0,0,0,1,0,0
"375","ENSG00000238173","RPL39P6",0,1,0,0,0,0
"376","ENSG00000120942","UBIAD1",96,138,133,470,88,352
"377","ENSG00000238199","UBE2V2P3",1,1,1,2,3,6
"378","ENSG00000224338","RP11-149P14.1",0,0,0,0,1,0
"379","ENSG00000204624","PTCHD2",0,0,0,1,0,0
"380","ENSG00000235643","RP1-69M21.2",0,0,0,0,0,1
"381","ENSG00000116661","FBXO2",2,2,0,5,4,6
"382","ENSG00000132879","FBXO44",147,244,84,518,158,437
"383","ENSG00000116663","FBXO6",301,583,325,839,207,394
"384","ENSG00000116670","MAD2L2",208,419,175,706,252,700
"385","ENSG00000162490","DRAXIN",5,5,1,2,0,6
"386","ENSG00000177674","AGTRAP",630,967,498,550,240,673
"387","ENSG00000215910","C1orf167",2,2,2,0,1,4
"388","ENSG00000177553","RP11-56N19.5",0,1,0,0,1,0
"389","ENSG00000177000","MTHFR",581,1230,441,2227,553,1363
"390","ENSG00000011021","CLCN6",324,444,199,1062,198,617
"391","ENSG00000242349","NPPA-AS1",14,4,5,30,0,5
"392","ENSG00000175206","NPPA",3,1,0,5,0,0
"393","ENSG00000120937","NPPB",0,0,0,1,0,0
"394","ENSG00000224904","RP5-934G17.6",0,0,0,0,0,0
"395","ENSG00000199347","RNU5E-1",0,1,2,1,0,0
"396","ENSG00000201801","RNU5E-4P",0,1,1,0,0,2
"397","ENSG00000116685","KIAA2013",464,830,520,1697,387,1456
"398","ENSG00000083444","PLOD1",706,1060,575,3707,752,2027
"399","ENSG00000116688","MFN2",1120,1559,902,2925,607,1772
"400","ENSG00000270914","RP5-1077B9.5",0,0,0,0,0,0
"401","ENSG00000116691","MIIP",215,551,331,1022,186,556
"402","ENSG00000202461","Y_RNA",2,4,3,7,2,4
"403","ENSG00000243539","RN7SL649P",0,0,0,1,0,0
"404","ENSG00000120949","TNFRSF8",6,1,6,24,2,17
"405","ENSG00000201135","RNU6-777P",0,0,0,0,0,0
"406","ENSG00000227875","RP11-426M1.2",0,0,0,0,0,0
"407","ENSG00000028137","TNFRSF1B",6041,10609,4750,3904,1837,6855
"408","ENSG00000263676","MIR4632",0,4,1,0,0,2
"409","ENSG00000225196","RP5-1118D24.2",0,0,0,0,0,1
"410","ENSG00000252969","SNORA70",0,2,0,0,0,2
"411","ENSG00000048707","VPS13D",752,1054,524,2504,621,1730
"412","ENSG00000239149","SNORA59A",0,1,1,5,0,1
"413","ENSG00000229484","RP5-888M10.2",1,0,0,3,1,0
"414","ENSG00000162496","DHRS3",119,96,37,182,32,236
"415","ENSG00000221340","RNU6ATAC18P",2,1,0,2,0,0
"416","ENSG00000272482","RP11-474O21.5",1,0,1,1,0,2
"417","ENSG00000204518","AADACL4",0,0,0,0,0,0
"418","ENSG00000226166","RP11-474O21.2",0,0,0,0,0,0
"419","ENSG00000188984","AADACL3",0,0,0,0,0,0
"420","ENSG00000238771","snoU13",0,0,0,0,0,0
"421","ENSG00000157330","C1orf158",0,0,0,0,0,0
"422","ENSG00000116726","PRAMEF12",0,0,0,0,0,0
"423","ENSG00000116721","PRAMEF1",0,0,0,0,0,0
"424","ENSG00000228338","RP5-845O24.8",0,0,0,0,0,0
"425","ENSG00000204513","PRAMEF11",0,0,0,0,0,0
"426","ENSG00000231103","RP5-845O24.3",0,0,0,0,0,0
"427","ENSG00000179172","HNRNPCL1",1,5,1,0,2,2
"428","ENSG00000120952","PRAMEF2",0,0,0,0,0,0
"429","ENSG00000243073","PRAMEF4",0,0,0,0,0,0
"430","ENSG00000187545","PRAMEF10",0,0,0,0,0,0
"431","ENSG00000204510","PRAMEF7",0,0,0,0,0,0
"432","ENSG00000207434","RNU6-1072P",0,0,0,0,0,0
"433","ENSG00000234064","RP11-450I1.2",0,0,0,0,0,0
"434","ENSG00000232423","PRAMEF6",0,0,0,0,0,0
"435","ENSG00000250894","RP11-450I1.4",0,0,0,0,0,0
